"numero_ponto","tipo","endereco","geojson","codigo_linha","nome_linha","categoria","cor","apenas_cartao"
101020,"Novo mobiliário","Praça Tiradentes - 183 - Jardim Chaparral","{""type"":""Point"",""coordinates"":[-49.271115095562,-25.428609596]}","183","JD. CHAPARRAL","CONVENCIONAL","AMARELA","N"
101020,"Novo mobiliário","Praça Tiradentes - 183 - Jardim Chaparral","{""type"":""Point"",""coordinates"":[-49.271115095562,-25.428609596]}","183","JD. CHAPARRAL","CONVENCIONAL","AMARELA","N"
101021,"Novo mobiliário","Praça Tiradentes - 182 - Abranches","{""type"":""Point"",""coordinates"":[-49.271081567949,-25.42848121089]}","182","ABRANCHES","TRONCAL","AMARELA","N"
101021,"Novo mobiliário","Praça Tiradentes - 182 - Abranches","{""type"":""Point"",""coordinates"":[-49.271081567949,-25.42848121089]}","182","ABRANCHES","TRONCAL","AMARELA","N"
101022,"Especial Madrugueiro","Praça Tiradentes - 189 - Mad. Abranches","{""type"":""Point"",""coordinates"":[-49.271328002214,-25.430049414542]}","189","MAD. ABRANCHES","MADRUGUEIRO","MADRUGUEIRO","N"
101121,"Domus","Nestor de Castro - 901 - Santa Felicidade","{""type"":""Point"",""coordinates"":[-49.273006265878,-25.428421853753]}","901","STA. FELICIDADE","TRONCAL","AMARELA","N"
101121,"Domus","Nestor de Castro - 901 - Santa Felicidade","{""type"":""Point"",""coordinates"":[-49.273006265878,-25.428421853753]}","989","MAD. STA. FELICIDADE","MADRUGUEIRO","MADRUGUEIRO","N"
101121,"Domus","Nestor de Castro - 901 - Santa Felicidade","{""type"":""Point"",""coordinates"":[-49.273006265878,-25.428421853753]}","901","STA. FELICIDADE","TRONCAL","AMARELA","N"
101122,"Domus","Nestor de Castro - 972 - Jardim itália","{""type"":""Point"",""coordinates"":[-49.272862767696,-25.4283721953]}","972","JD. ITÁLIA","TRONCAL","AMARELA","F"
101122,"Domus","Nestor de Castro - 972 - Jardim itália","{""type"":""Point"",""coordinates"":[-49.272862767696,-25.4283721953]}","972","JD. ITÁLIA","TRONCAL","AMARELA","F"
101123,"Novo mobiliário","Nestor de Castro - 168 - Raposo Tavares","{""type"":""Point"",""coordinates"":[-49.272749225882,-25.428339629041]}","168","RAPOSO TAVARES","CONVENCIONAL","AMARELA","F"
101123,"Novo mobiliário","Nestor de Castro - 168 - Raposo Tavares","{""type"":""Point"",""coordinates"":[-49.272749225882,-25.428339629041]}","168","RAPOSO TAVARES","CONVENCIONAL","AMARELA","F"
101124,"Especial Madrugueiro","Nestor de Castro - 167 - Fredolim Wolf","{""type"":""Point"",""coordinates"":[-49.272607068804,-25.428300871199]}","167","FREDOLIN WOLF","CONVENCIONAL","AMARELA","S"
101124,"Especial Madrugueiro","Nestor de Castro - 167 - Fredolim Wolf","{""type"":""Point"",""coordinates"":[-49.272607068804,-25.428300871199]}","167","FREDOLIN WOLF","CONVENCIONAL","AMARELA","S"
101126,"Novo mobiliário","Nestor de Castro - 170 - Bracatinga","{""type"":""Point"",""coordinates"":[-49.272499115414,-25.428254719843]}","170","BRACATINGA","CONVENCIONAL","AMARELA","N"
101126,"Novo mobiliário","Nestor de Castro - 170 - Bracatinga","{""type"":""Point"",""coordinates"":[-49.272499115414,-25.428254719843]}","170","BRACATINGA","CONVENCIONAL","AMARELA","N"
101127,"Novo mobiliário","Nestor de Castro - 171 - Primavera","{""type"":""Point"",""coordinates"":[-49.272399203128,-25.428223229075]}","171","PRIMAVERA","CONVENCIONAL","AMARELA","N"
101127,"Novo mobiliário","Nestor de Castro - 171 - Primavera","{""type"":""Point"",""coordinates"":[-49.272399203128,-25.428223229075]}","171","PRIMAVERA","CONVENCIONAL","AMARELA","N"
101128,"Novo mobiliário","Nestor de Castro - 169 - Jd. Kosmos","{""type"":""Point"",""coordinates"":[-49.272275150962,-25.428178462348]}","169","JD. KOSMOS","CONVENCIONAL","AMARELA","F"
101128,"Novo mobiliário","Nestor de Castro - 169 - Jd. Kosmos","{""type"":""Point"",""coordinates"":[-49.272275150962,-25.428178462348]}","169","JD. KOSMOS","CONVENCIONAL","AMARELA","F"
101129,"Novo mobiliário","Nestor de Castro - 176 - Nilo Peçanha","{""type"":""Point"",""coordinates"":[-49.271933169312,-25.428087576443]}","176","NILO PEÇANHA","CONVENCIONAL","AMARELA","S"
101129,"Novo mobiliário","Nestor de Castro - 176 - Nilo Peçanha","{""type"":""Point"",""coordinates"":[-49.271933169312,-25.428087576443]}","176","NILO PEÇANHA","CONVENCIONAL","AMARELA","S"
101131,"Novo mobiliário","Travessa. Nestor de Castro - Centro","{""type"":""Point"",""coordinates"":[-49.271696557684,-25.428057764996]}","165","UNIVERSIDADES","CONVENCIONAL","AMARELA","S"
101131,"Novo mobiliário","Travessa. Nestor de Castro - Centro","{""type"":""Point"",""coordinates"":[-49.271696557684,-25.428057764996]}","164","R.PRADO/C.GOMES","CONVENCIONAL","AMARELA","S"
101131,"Novo mobiliário","Travessa. Nestor de Castro - Centro","{""type"":""Point"",""coordinates"":[-49.271696557684,-25.428057764996]}","160","JD. MERCÊS / GUANABARA","CONVENCIONAL","AMARELA","N"
101131,"Novo mobiliário","Travessa. Nestor de Castro - Centro","{""type"":""Point"",""coordinates"":[-49.271696557684,-25.428057764996]}","175","BOM RETIRO / PUC","CONVENCIONAL","AMARELA","F"
101161,"Novo mobiliário","Trav. Moreira Garcês - 205 - Barreirinha","{""type"":""Point"",""coordinates"":[-49.270883084482,-25.42843881955]}","205","BARREIRINHA","TRONCAL","AMARELA","N"
101161,"Novo mobiliário","Trav. Moreira Garcês - 205 - Barreirinha","{""type"":""Point"",""coordinates"":[-49.270883084482,-25.42843881955]}","205","BARREIRINHA","TRONCAL","AMARELA","N"
101162,"Novo mobiliário","Trav. Moreira Garcês - 274 - Santa Gema","{""type"":""Point"",""coordinates"":[-49.270704717583,-25.428573260605]}","274","STA. GEMA","CONVENCIONAL","AMARELA","S"
101162,"Novo mobiliário","Trav. Moreira Garcês - 274 - Santa Gema","{""type"":""Point"",""coordinates"":[-49.270704717583,-25.428573260605]}","274","STA. GEMA","CONVENCIONAL","AMARELA","S"
101163,"Novo mobiliário","Trav. Moreira Garcês - 270 - Fernando de Noronha","{""type"":""Point"",""coordinates"":[-49.270649732298,-25.428624130155]}","270","FERNANDO DE NORONHA","CONVENCIONAL","AMARELA","S"
101163,"Novo mobiliário","Trav. Moreira Garcês - 270 - Fernando de Noronha","{""type"":""Point"",""coordinates"":[-49.270649732298,-25.428624130155]}","270","FERNANDO DE NORONHA","CONVENCIONAL","AMARELA","S"
101164,"Novo mobiliário","Trav. Moreira Garcês -271 - Laranjeiras","{""type"":""Point"",""coordinates"":[-49.27068594212,-25.428619285437]}","271","LARANJEIRAS","CONVENCIONAL","AMARELA","S"
101164,"Novo mobiliário","Trav. Moreira Garcês -271 - Laranjeiras","{""type"":""Point"",""coordinates"":[-49.27068594212,-25.428619285437]}","271","LARANJEIRAS","CONVENCIONAL","AMARELA","S"
101166,"Novo mobiliário","Trav. Moreira Garcês - 272 - Paineiras","{""type"":""Point"",""coordinates"":[-49.270588041491,-25.428693167367]}","272","PAINEIRAS","CONVENCIONAL","AMARELA","S"
101166,"Novo mobiliário","Trav. Moreira Garcês - 272 - Paineiras","{""type"":""Point"",""coordinates"":[-49.270588041491,-25.428693167367]}","272","PAINEIRAS","CONVENCIONAL","AMARELA","S"
101167,"Novo mobiliário","Trav. Moreira Garcês - 266 - Estribo Ahú","{""type"":""Point"",""coordinates"":[-49.270628274626,-25.428656831997]}","266","ESTRIBO AHÚ","CONVENCIONAL","AMARELA","S"
101167,"Novo mobiliário","Trav. Moreira Garcês - 266 - Estribo Ahú","{""type"":""Point"",""coordinates"":[-49.270628274626,-25.428656831997]}","266","ESTRIBO AHÚ","CONVENCIONAL","AMARELA","S"
102001,"Novo mobiliário","Praça Rui Barbosa - 666 - Novo Mundo","{""type"":""Point"",""coordinates"":[-49.274486810976,-25.43588731128]}","788","MAD. V. VELHA","MADRUGUEIRO","MADRUGUEIRO","N"
102001,"Novo mobiliário","Praça Rui Barbosa - 666 - Novo Mundo","{""type"":""Point"",""coordinates"":[-49.274486810976,-25.43588731128]}","666","NOVO MUNDO","CONVENCIONAL","AMARELA","S"
102001,"Novo mobiliário","Praça Rui Barbosa - 666 - Novo Mundo","{""type"":""Point"",""coordinates"":[-49.274486810976,-25.43588731128]}","666","NOVO MUNDO","CONVENCIONAL","AMARELA","S"
102002,"Novo mobiliário","Praça Rui Barbosa - 663 - V. Cubas","{""type"":""Point"",""coordinates"":[-49.274266869836,-25.435758933924]}","663","V. CUBAS","CONVENCIONAL","AMARELA","N"
102002,"Novo mobiliário","Praça Rui Barbosa - 663 - V. Cubas","{""type"":""Point"",""coordinates"":[-49.274266869836,-25.435758933924]}","663","V. CUBAS","CONVENCIONAL","AMARELA","N"
102003,"Novo mobiliário","Praça Rui Barbosa - 662 - Dom Ático","{""type"":""Point"",""coordinates"":[-49.274100572877,-25.435662045263]}","662","DOM ÁTICO","CONVENCIONAL","AMARELA","S"
102003,"Novo mobiliário","Praça Rui Barbosa - 662 - Dom Ático","{""type"":""Point"",""coordinates"":[-49.274100572877,-25.435662045263]}","662","DOM ÁTICO","CONVENCIONAL","AMARELA","S"
102004,"Novo mobiliário","Praça Rui Barbosa - 661 - Lindóia","{""type"":""Point"",""coordinates"":[-49.273982555681,-25.435574845401]}","661","LINDÓIA","CONVENCIONAL","AMARELA","S"
102004,"Novo mobiliário","Praça Rui Barbosa - 661 - Lindóia","{""type"":""Point"",""coordinates"":[-49.273982555681,-25.435574845401]}","661","LINDÓIA","CONVENCIONAL","AMARELA","S"
102005,"Novo mobiliário","Praça Rui Barbosa - 665 - Vila Rex","{""type"":""Point"",""coordinates"":[-49.273869902902,-25.435492489918]}","665","V. REX","CONVENCIONAL","AMARELA","N"
102005,"Novo mobiliário","Praça Rui Barbosa - 665 - Vila Rex","{""type"":""Point"",""coordinates"":[-49.273869902902,-25.435492489918]}","665","V. REX","CONVENCIONAL","AMARELA","N"
102006,"Novo mobiliário","Praça Rui Barbosa - 561 - Guilhermina","{""type"":""Point"",""coordinates"":[-49.273730428033,-25.435434356602]}","561","GUILHERMINA","CONVENCIONAL","AMARELA","N"
102006,"Novo mobiliário","Praça Rui Barbosa - 561 - Guilhermina","{""type"":""Point"",""coordinates"":[-49.273730428033,-25.435434356602]}","561","GUILHERMINA","CONVENCIONAL","AMARELA","N"
102007,"Novo mobiliário","Praça Rui Barbosa - 160 - Jd.Mercês / Guanabara","{""type"":""Point"",""coordinates"":[-49.273590953164,-25.435376223258]}","160","JD. MERCÊS / GUANABARA","CONVENCIONAL","AMARELA","N"
102008,"Novo mobiliário","Praça Rui Barbosa - 776 - Carmela Dutra","{""type"":""Point"",""coordinates"":[-49.273462207132,-25.435318089886]}","776","CARMELA DUTRA","CONVENCIONAL","AMARELA","N"
102008,"Novo mobiliário","Praça Rui Barbosa - 776 - Carmela Dutra","{""type"":""Point"",""coordinates"":[-49.273462207132,-25.435318089886]}","776","CARMELA DUTRA","CONVENCIONAL","AMARELA","N"
102009,"Novo mobiliário","Praça Rui Barbosa - 777 - V. Velha / 788-Mad. V. Velha","{""type"":""Point"",""coordinates"":[-49.273338825517,-25.435279334289]}","788","MAD. V. VELHA","MADRUGUEIRO","MADRUGUEIRO","N"
102009,"Novo mobiliário","Praça Rui Barbosa - 777 - V. Velha / 788-Mad. V. Velha","{""type"":""Point"",""coordinates"":[-49.273338825517,-25.435279334289]}","777","V. VELHA","CONVENCIONAL","AMARELA","N"
102009,"Novo mobiliário","Praça Rui Barbosa - 777 - V. Velha / 788-Mad. V. Velha","{""type"":""Point"",""coordinates"":[-49.273338825517,-25.435279334289]}","777","V. VELHA","CONVENCIONAL","AMARELA","N"
102010,"Novo mobiliário","Praça Rui Barbosa - 778 - Cotolengo","{""type"":""Point"",""coordinates"":[-49.273236901574,-25.43522120087]}","778","COTOLENGO","TRONCAL","AMARELA","N"
102010,"Novo mobiliário","Praça Rui Barbosa - 778 - Cotolengo","{""type"":""Point"",""coordinates"":[-49.273236901574,-25.43522120087]}","778","COTOLENGO","TRONCAL","AMARELA","N"
102010,"Novo mobiliário","Praça Rui Barbosa - 778 - Cotolengo","{""type"":""Point"",""coordinates"":[-49.273236901574,-25.43522120087]}","776","CARMELA DUTRA","CONVENCIONAL","AMARELA","N"
102010,"Novo mobiliário","Praça Rui Barbosa - 778 - Cotolengo","{""type"":""Point"",""coordinates"":[-49.273236901574,-25.43522120087]}","776","CARMELA DUTRA","CONVENCIONAL","AMARELA","N"
102010,"Novo mobiliário","Praça Rui Barbosa - 778 - Cotolengo","{""type"":""Point"",""coordinates"":[-49.273236901574,-25.43522120087]}","776","CARMELA DUTRA","CONVENCIONAL","AMARELA","N"
102011,"Novo mobiliário","Praça Rui Barbosa - 762 - Vila Rosinha","{""type"":""Point"",""coordinates"":[-49.27300354939,-25.435117045091]}","762","V. ROSINHA","CONVENCIONAL","AMARELA","S"
102011,"Novo mobiliário","Praça Rui Barbosa - 762 - Vila Rosinha","{""type"":""Point"",""coordinates"":[-49.27300354939,-25.435117045091]}","762","V. ROSINHA","CONVENCIONAL","AMARELA","S"
102012,"Novo mobiliário","Praça Rui Barbosa - 761 - Vila Izabel","{""type"":""Point"",""coordinates"":[-49.272818476968,-25.435056489364]}","189","MAD. ABRANCHES","MADRUGUEIRO","MADRUGUEIRO","N"
102012,"Novo mobiliário","Praça Rui Barbosa - 761 - Vila Izabel","{""type"":""Point"",""coordinates"":[-49.272818476968,-25.435056489364]}","761","V. IZABEL","CONVENCIONAL","AMARELA","S"
102012,"Novo mobiliário","Praça Rui Barbosa - 761 - Vila Izabel","{""type"":""Point"",""coordinates"":[-49.272818476968,-25.435056489364]}","189","MAD. ABRANCHES","MADRUGUEIRO","MADRUGUEIRO","N"
102012,"Novo mobiliário","Praça Rui Barbosa - 761 - Vila Izabel","{""type"":""Point"",""coordinates"":[-49.272818476968,-25.435056489364]}","761","V. IZABEL","CONVENCIONAL","AMARELA","S"
102013,"Novo mobiliário","Praça Rui Barbosa - 760 - Santa Quitéria","{""type"":""Point"",""coordinates"":[-49.272625357919,-25.43497897799]}","760","STA. QUITÉRIA","CONVENCIONAL","AMARELA","S"
102013,"Novo mobiliário","Praça Rui Barbosa - 760 - Santa Quitéria","{""type"":""Point"",""coordinates"":[-49.272625357919,-25.43497897799]}","760","STA. QUITÉRIA","CONVENCIONAL","AMARELA","S"
102014,"Novo mobiliário","Praça Rui Barbosa - 360 - Novena","{""type"":""Point"",""coordinates"":[-49.273891360574,-25.435377754163]}","360","NOVENA","CONVENCIONAL","AMARELA","N"
102014,"Novo mobiliário","Praça Rui Barbosa - 360 - Novena","{""type"":""Point"",""coordinates"":[-49.273891360574,-25.435377754163]}","360","NOVENA","CONVENCIONAL","AMARELA","N"
102015,"Novo mobiliário","Praça Rui Barbosa - 701 - Fazendinha","{""type"":""Point"",""coordinates"":[-49.272330314928,-25.434867555301]}","701","FAZENDINHA","TRONCAL","AMARELA","N"
102015,"Novo mobiliário","Praça Rui Barbosa - 701 - Fazendinha","{""type"":""Point"",""coordinates"":[-49.272330314928,-25.434867555301]}","701","FAZENDINHA","TRONCAL","AMARELA","N"
102016,"Novo mobiliário","Praça Rui Barbosa - 703 - Caiuá","{""type"":""Point"",""coordinates"":[-49.272209615522,-25.434806999449]}","789","MAD. CAIUÁ","MADRUGUEIRO","MADRUGUEIRO","N"
102016,"Novo mobiliário","Praça Rui Barbosa - 703 - Caiuá","{""type"":""Point"",""coordinates"":[-49.272209615522,-25.434806999449]}","703","CAIUÁ","TRONCAL","AMARELA","N"
102016,"Novo mobiliário","Praça Rui Barbosa - 703 - Caiuá","{""type"":""Point"",""coordinates"":[-49.272209615522,-25.434806999449]}","706","CAIUA/FAZ/CENTRO","TRONCAL","AMARELA","N"
102016,"Novo mobiliário","Praça Rui Barbosa - 703 - Caiuá","{""type"":""Point"",""coordinates"":[-49.272209615522,-25.434806999449]}","703","CAIUÁ","TRONCAL","AMARELA","N"
102016,"Novo mobiliário","Praça Rui Barbosa - 703 - Caiuá","{""type"":""Point"",""coordinates"":[-49.272209615522,-25.434806999449]}","789","MAD. CAIUÁ","MADRUGUEIRO","MADRUGUEIRO","N"
102016,"Novo mobiliário","Praça Rui Barbosa - 703 - Caiuá","{""type"":""Point"",""coordinates"":[-49.272209615522,-25.434806999449]}","706","CAIUA/FAZ/CENTRO","TRONCAL","AMARELA","N"
102016,"Novo mobiliário","Praça Rui Barbosa - 703 - Caiuá","{""type"":""Point"",""coordinates"":[-49.272209615522,-25.434806999449]}","706","CAIUA/FAZ/CENTRO","TRONCAL","AMARELA","N"
102016,"Novo mobiliário","Praça Rui Barbosa - 703 - Caiuá","{""type"":""Point"",""coordinates"":[-49.272209615522,-25.434806999449]}","706","CAIUA/FAZ/CENTRO","TRONCAL","AMARELA","N"
102016,"Novo mobiliário","Praça Rui Barbosa - 703 - Caiuá","{""type"":""Point"",""coordinates"":[-49.272209615522,-25.434806999449]}","706","CAIUA/FAZ/CENTRO","TRONCAL","AMARELA","N"
102016,"Novo mobiliário","Praça Rui Barbosa - 703 - Caiuá","{""type"":""Point"",""coordinates"":[-49.272209615522,-25.434806999449]}","706","CAIUA/FAZ/CENTRO","TRONCAL","AMARELA","N"
102016,"Novo mobiliário","Praça Rui Barbosa - 703 - Caiuá","{""type"":""Point"",""coordinates"":[-49.272209615522,-25.434806999449]}","706","CAIUA/FAZ/CENTRO","TRONCAL","AMARELA","N"
102017,"Novo mobiliário","Praça Rui Barbosa - 560 - Alferes Poli","{""type"":""Point"",""coordinates"":[-49.271937371306,-25.434941433399]}","560","ALFERES POLI","CONVENCIONAL","AMARELA","S"
102017,"Novo mobiliário","Praça Rui Barbosa - 560 - Alferes Poli","{""type"":""Point"",""coordinates"":[-49.271937371306,-25.434941433399]}","560","ALFERES POLI","CONVENCIONAL","AMARELA","S"
102018,"Novo mobiliário","Praça Rui Barbosa - 470 - Guabirotuba","{""type"":""Point"",""coordinates"":[-49.271877021603,-25.435068600512]}","470","GUABIROTUBA","CONVENCIONAL","AMARELA","S"
102018,"Novo mobiliário","Praça Rui Barbosa - 470 - Guabirotuba","{""type"":""Point"",""coordinates"":[-49.271877021603,-25.435068600512]}","470","GUABIROTUBA","CONVENCIONAL","AMARELA","S"
102019,"Novo mobiliário","Praça Rui Barbosa - 475 - Canal Belém","{""type"":""Point"",""coordinates"":[-49.271812648587,-25.435187289696]}","475","CANAL BELÉM","CONVENCIONAL","AMARELA","N"
102019,"Novo mobiliário","Praça Rui Barbosa - 475 - Canal Belém","{""type"":""Point"",""coordinates"":[-49.271812648587,-25.435187289696]}","475","CANAL BELÉM","CONVENCIONAL","AMARELA","N"
102020,"Novo mobiliário","Praça Rui Barbosa - 468 - Jd Centauro","{""type"":""Point"",""coordinates"":[-49.27177777987,-25.435289023189]}","468","JD. CENTAURO","CONVENCIONAL","AMARELA","N"
102020,"Novo mobiliário","Praça Rui Barbosa - 468 - Jd Centauro","{""type"":""Point"",""coordinates"":[-49.27177777987,-25.435289023189]}","468","JD. CENTAURO","CONVENCIONAL","AMARELA","N"
102021,"Novo mobiliário","Praça Rui Barbosa - 474 - Jd Itiberê","{""type"":""Point"",""coordinates"":[-49.271721453481,-25.435384701039]}","474","JD. ITIBERÊ","CONVENCIONAL","AMARELA","N"
102021,"Novo mobiliário","Praça Rui Barbosa - 474 - Jd Itiberê","{""type"":""Point"",""coordinates"":[-49.271721453481,-25.435384701039]}","474","JD. ITIBERÊ","CONVENCIONAL","AMARELA","N"
102022,"Novo mobiliário","Praça Rui Barbosa - 471 - Vila São Paulo","{""type"":""Point"",""coordinates"":[-49.271662444882,-25.435521556566]}","471","V. SÃO PAULO","CONVENCIONAL","AMARELA","N"
102022,"Novo mobiliário","Praça Rui Barbosa - 471 - Vila São Paulo","{""type"":""Point"",""coordinates"":[-49.271662444882,-25.435521556566]}","471","V. SÃO PAULO","CONVENCIONAL","AMARELA","N"
102023,"Novo mobiliário","Praça Rui Barbosa - 467 - Vila Macedo","{""type"":""Point"",""coordinates"":[-49.271615506225,-25.435626923104]}","467","V. MACEDO","CONVENCIONAL","AMARELA","S"
102023,"Novo mobiliário","Praça Rui Barbosa - 467 - Vila Macedo","{""type"":""Point"",""coordinates"":[-49.271615506225,-25.435626923104]}","467","V. MACEDO","CONVENCIONAL","AMARELA","S"
102024,"Novo mobiliário","Praça Rui Barbosa - 472 - Uberaba","{""type"":""Point"",""coordinates"":[-49.271563203149,-25.435743189522]}","188","MAD. PILARZINHO / UBERABA","MADRUGUEIRO","MADRUGUEIRO","N"
